Official Name of Satellite,Country/Organization of UN Registry,Operator/Owner,Country of Operator/Owner,Users,Purpose,Class of Orbit,Perigee (Kilometers),Apogee (Kilometers),Eccentricity,Inclination (Degrees),Period (Minutes),Date of Launch,Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number
SAR-Lupe 5,Germany,Armed Forces,Germany,Military,Earth Observation,LEO,474.0,502.0,0.00204,98.16,94.37,7/22/2008,OHB-System AG ,Germany,Plesetsk Cosmodrome,Kosmos 3M,2008-036A,33244.0
Sathyabamasat,NR,Sathyabama University/IRSO,India,Civil,Earth Science,LEO,501.0,517.0,0.00116,97.5,94.8,6/22/2016,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Center,PSLV XL,2016-040B,41600.0
Saudicomsat-1,Saudi Arabia,Riyadh Space Research Institute,Saudi Arabia,Commercial,Technology Development,LEO,697.0,747.0,0.00353,98.0,99.2,6/29/2004,"Space Research Institute, King Abdulaziz City for Science and Technology",Saudi Arabia,Baikonur Cosmodrome,Dnepr 1,2004-025D,28369.0
Saudicomsat-2 ,Saudi Arabia,Riyadh Space Research Institute,Saudi Arabia,Commercial,Technology Development,LEO,696.0,780.0,0.00591,98.1,99.6,6/29/2004,"Space Research Institute, King Abdulaziz City for Science and Technology",Saudi Arabia,Baikonur Cosmodrome,Dnepr 1,2004-025E,28370.0
Saudicomsat-3,Saudi Arabia,Riyadh Space Research Institute,Saudi Arabia,Commercial,Communications,LEO,652.0,714.0,0.0044,97.8,98.4,4/17/2007,"Space Research Institute, King Abdulaziz City for Science and Technology",Saudi Arabia,Baikonur Cosmodrome,Dnepr ,2007-012J,31125.0
Saudicomsat-4,Saudi Arabia,Riyadh Space Research Institute,Saudi Arabia,Commercial,Communications,LEO,649.0,746.0,0.00686,97.8,98.7,4/17/2007,"Space Research Institute, King Abdulaziz City for Science and Technology",Saudi Arabia,Baikonur Cosmodrome,Dnepr,2007-012L,31127.0
Saudicomsat-5,Saudi Arabia,Riyadh Space Research Institute,Saudi Arabia,Commercial,Communications,LEO,651.0,725.0,0.00524,97.8,98.5,4/17/2007,"Space Research Institute, King Abdulaziz City for Science and Technology",Saudi Arabia,Baikonur Cosmodrome,Dnepr,2007-012H,31124.0
Saudicomsat-6,Saudi Arabia,Riyadh Space Research Institute,Saudi Arabia,Commercial,Communications,LEO,648.0,758.0,0.00778,97.8,98.8,4/17/2007,"Space Research Institute, King Abdulaziz City for Science and Technology",Saudi Arabia,Baikonur Cosmodrome,Dnepr,2007-012E,31121.0
Saudicomsat-7,Saudi Arabia,Riyadh Space Research Institute,Saudi Arabia,Commercial,Communications,LEO,650.0,736.0,0.00609,97.8,98.6,4/17/2007,"Space Research Institute, King Abdulaziz City for Science and Technology",Saudi Arabia,Baikonur Cosmodrome,Dnepr,2007-012C,31119.0
Saudisat 1C,Saudi Arabia,"Space Research Institute, King Abdulaziz City for Science and Technology",Saudi Arabia,Government,Communications,LEO,603.0,702.0,0.00705,64.6,97.8,12/20/2002,"Space Research Institute, King Abdulaziz City for Science and Technology",Saudi Arabia,Baikonur Cosmodrome,Dnepr,2002-058C,27607.0
Saudisat-2 ,Saudi Arabia,Riyadh Space Research Institute,Saudi Arabia,Government,Earth Observation,LEO,696.0,734.0,0.00268,97.9,99.1,6/29/2004,Riyadh Space Research Institute,Saudi Arabia,Baikonur Cosmodrome,Dnepr 1,2004-025F,28371.0
Saudisat-3,Saudi Arabia,Riyadh Space Research Institute,Saudi Arabia,Government,Earth Observation,LEO,656.0,677.0,0.00149,97.8,98.1,4/17/2007,King Abdulaziz City for Science and Technology,Saudi Arabia,Baikonur Cosmodrome,Dnepr,2007-012B,31118.0
Saudisat-4,Saudi Arabia,"Space Research Institute, King Abdulaziz City for Science and Technology",Saudi Arabia,Government,Space Science,LEO,613.0,682.0,0.00492,97.98,97.68,6/19/2014,King Abdulaziz City for Science and Technology/Stanford University,Saudi Arabia,Dombarovsky Air Base,Dnepr,2014-033G,40016.0
USA 230,USA,US Air Force,USA,Military,Earth Observation,GEO,35778.0,35795.0,0.000202,6.45,1436.11,5/7/2011,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2011-019A,37481.0
USA 241,USA,US Air Force,USA,Military,Earth Observation,GEO,35770.0,35790.0,0.000237,6.45,1436.11,3/19/2013,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2013-011A,39120.0
USA 216,USA,Strategic Space Command/Space Surveillance Network,USA,Military,Space Observation,LEO,631.0,634.0,0.000214,98.02,97.36,9/26/2010,Boeing/Ball Aerospace,USA,Vandenberg AFB,Minotaur 4,2010-048A,37168.0
USA 181,USA,National Reconnaissance Office/US Navy,USA,Military,Earth Observation,LEO,1017.0,1203.0,0.0124,63.4,107.4,2/3/2005,Lockheed Martin,USA,Cape Canaveral,Atlas 3B,2005-004A,28537.0
USA 181,USA,National Reconnaissance Office/US Navy,USA,Military,Earth Observation,LEO,1016.0,1203.0,0.0125,63.4,107.4,2/3/2005,Lockheed Martin,USA,Cape Canaveral,Atlas 3B,2005-004B,28541.0
USA 194,USA,National Reconnaissance Office/US Navy,USA,Military,Earth Observation,LEO,1015.0,1200.0,0.0124,63.4,107.4,6/15/2007,Lockheed Martin,USA,Cape Canaveral,Atlas 5,2007-027A,31701.0
USA 194,USA,National Reconnaissance Office/US Navy,USA,Military,Earth Observation,LEO,1016.0,1201.0,0.0124,63.4,107.4,6/15/2007,Lockheed Martin,USA,Cape Canaveral,Atlas 5,2007-027B,31708.0
USA 229,USA,National Reconnaissance Office/US Navy,USA,Military,Earth Observation,LEO,1019.0,1205.0,0.0124,63.4,107.5,4/15/2011,Lockheed Martin,USA,Vandenberg AFB,Atlas 5,2011-014A,37386.0
USA 229,USA,National Reconnaissance Office/US Navy,USA,Military,Earth Observation,LEO,1014.0,1201.0,0.0125,63.4,107.4,4/15/2011,Lockheed Martin,USA,Vandenberg AFB,Atlas 5,2011-014B,37391.0
USA 238,USA,National Reconnaissance Office/US Navy,USA,Military,Earth Observation,LEO,1012.0,1203.0,0.0128,63.4,107.4,9/13/2012,National Reconnaissance Laboratory (NRL),USA,Vandenberg AFB,Atlas 5,2012-048A,38758.0
USA 238,USA,National Reconnaissance Office/US Navy,USA,Military,Earth Observation,LEO,1012.0,1203.0,0.0128,63.4,107.4,9/13/2012,National Reconnaissance Laboratory (NRL),USA,Vandenberg AFB,Atlas 5,2012-048P,38773.0
USA 264,NR,National Reconnaissance Office/US Navy,USA,Military,Earth Observation,LEO,1014.0,1099.0,0.00572,63.4,107.4,10/8/2015,National Reconnaissance Laboratory (NRL),USA,Vandenberg AFB,Atlas 5,2015-058A,40964.0
USA 264,NR,National Reconnaissance Office/US Navy,USA,Military,Earth Observation,LEO,1014.0,1099.0,0.00572,63.4,107.4,10/8/2015,National Reconnaissance Laboratory (NRL),USA,Vandenberg AFB,Atlas 5,2015-058R,40981.0
SCD-1,Brazil,Instituto Nacional de Pesquisas Espaciais (INPE),Brazil,Government,Earth Observation,LEO,716.0,776.0,0.00422,25.0,99.7,2/9/1993,Instituto Nacional de Pesquisas Espaciais (INPE),Brazil,Cape Canaveral,Pegasus,1993-009B,22491.0
SCD-2,NR,Instituto Nacional de Pesquisas Espaciais (INPE),Brazil,Government,Earth Observation,LEO,735.0,760.0,0.00176,25.0,99.8,10/23/1998,Instituto Nacional de Pesquisas Espaciais (INPE),Brazil,Cape Canaveral,Pegasus,1998-060A,25504.0
Scisat-1,Canada,Canadian Space Agency,Canada,Government,Space Science,LEO,638.0,649.0,0.000784,73.9,97.6,8/12/2003,Bristol Aerospace Ltd.,Canada,Vandenberg AFB,Pegasus XL,2003-036A,27858.0
S-Cube,NR,"Planetary Exploration Research Center (PERC) of the Chiba Institute of Technology, Tohoku University",Japan,Civil,Technology Development,LEO,397.0,408.0,0.000812,51.64,92.61,9/17/2015,Planetary Exploration Research Center (PERC) of the Chiba Institute of Technology and Tohoku University,Japan,International Space Station,Cubesat Deployer,1998-067GY,40898.0
SDO,USA,National Aeronautics and Space Administration (NASA),USA,Government,Space Science,GEO,35779.0,35791.0,0.000142,28.0,1436.03,2/11/2010,Goddard Space Flight Center,USA,Cape Canaveral,Atlas 5,2010-005A,36395.0
USA 179,USA,National Reconnaissance Office (NRO)/US Air Force,USA,Military,Communications,Elliptical,500.0,39850.0,0.741,63.4,717.7,8/31/2004,Hughes,USA,Cape Canaveral,Atlas 2AS,2004-034A,28384.0
USA 198,USA,National Reconnaissance Office (NRO)/US Air Force,USA,Military,Communications,Elliptical,400.0,39966.0,0.745,60.0,718,12/10/2007,National Reconnaissance Laboratory,USA,Cape Canaveral,Atlas 5,2007-060A,32378.0
USA 227,USA,National Reconnaissance Office (NRO)/US Air Force,USA,Military,Communications,GEO,35770.0,35803.0,0.000391,4.92,14.36,3/2/2011,National Reconnaissance Laboratory,USA,Cape Canaveral,Delta 4,2011-011A,37377.0
USA 236,USA,National Reconnaissance Office (NRO)/US Air Force,USA,Military,Communications,GEO,35771.0,35805.0,0.000403,4.91,23.94,6/20/2012,National Reconnaissance Laboratory,USA,Cape Canaveral,Atlas 5,2012-033A,38466.0
USA 252,USA,National Reconnaissance Office (NRO)/US Air Force,USA,Military,Communications,GEO,35500.0,35500.0,0.0,4.0,23,5/22/2014,National Reconnaissance Laboratory,USA,Cape Canaveral,Atlas 5,2014-027A,39751.0
SDS-4,Japan,Japan Aerospace Exploration Agency (JAXA),Japan,Government,Technology Development,LEO,661.0,673.0,0.000853,98.2,98.1,5/17/2012,Japan Aerospace Exploration Agency (JAXA),Japan,Tanegashima Space Center,H-2A,2012-025C,38339.0
SEEDS 2,Japan,Nihon University,Japan,Civil,Technology Development,LEO,607.0,627.0,0.00143,97.8,97,4/28/2008,Nihon University,Japan,Satish Dhawan Space Center,PSLV C9,2008-021J,32791.0
Sentinel 1A,ESA,EUMETSAT,ESA,Government,Earth Observation,LEO,691.0,693.0,0.000142,98.16,98.61,4/3/2014,Thales Alenia Space Italia,Italy,Guiana Space Center,Soyuz,2014-016A,39634.0
Sentinel 1B,NR,EUMETSAT,ESA,Government,Earth Observation,LEO,695.0,697.0,0.000142,98.1,98.7,4/25/2016,Thales Alenia Space,France,Guiana Space Center,Soyuz 2.1a,2016-025A,41456.0
Sentinel 2A,NR,EUMETSAT,ESA,Government,Earth Observation,LEO,787.0,788.0,6.99e-05,98.5,100.62,6/23/2015,Airbus Defense and Space,France/UK/Germany,Guiana Space Center,Vega,2015-028A,40697.0
Sentinel 3A,NR,EUMETSAT,ESA,Government,Earth Observation,LEO,802.0,804.0,0.000139,98.6,100.9,2/16/2016,Thales Alenia Space,France,Plesetsk Cosmodrome,Rokot,2016-011A,41335.0
SES-1,USA,SES World Skies (SES [Société Européenne des Satellites (SES)]),USA,Commercial,Communications,GEO,35781.0,35793.0,0.000142,0.05,1436.1,4/24/2010,Orbital Sciences Corp.,USA,Baikonur Cosmodrome,Proton M,2010-016A,36516.0
SES-2,USA,SES World Skies (SES [Société Européenne des Satellites (SES)]),USA,Commercial,Communications,GEO,35778.0,35798.0,0.000237,0.01,1436.19,9/21/2011,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,2011-049A,37809.0
SES-3,NR,SES World Skies (SES [Société Européenne des Satellites (SES)]),USA,Commercial,Communications,GEO,35850.0,35852.0,2.37e-05,0.05,1439.41,7/15/2011,Orbital Sciences Corp.,USA,Baikonur Cosmodrome,Proton M,2011-035A,37748.0
SES-4,NR,SES World Skies (SES [Société Européenne des Satellites (SES)]),USA,Commercial,Communications,GEO,35781.0,35792.0,0.00013,0.05,1436.1,2/14/2012,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,2012-007A,38087.0
SES-5,United Kingdom,SES World Skies (SES [Société Européenne des Satellites (SES)]),USA,Commercial,Communications,GEO,35783.0,35791.0,9.49e-05,0.13,1436.12,7/9/2012,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,2012-036A,38652.0
SES-6,NR,SES World Skies (SES [Société Européenne des Satellites (SES)]),USA,Commercial,Communications,GEO,35757.0,35816.0,0.0007,0.13,1436.09,6/3/2013,EADS Astrium,France/UK/Germany,Baikonur Cosmodrome,Proton M,2013-026A,39172.0
SES-7,NR,SES World Skies (SES [Société Européenne des Satellites (SES)]),USA,Commercial,Communications,GEO,35783.0,35790.0,8.3e-05,0.03,1436.1,5/16/2009,Boeing Satellite Systems,USA,Baikonur Cosmodrome,Breeze M,2009-027A,34941.0
SES-8,NR,SES World Skies (SES [Société Européenne des Satellites (SES)]),USA,Commercial,Communications,GEO,35777.0,35795.0,0.000213,0.02,1436.07,12/3/2013,Orbital Sciences Corp.,USA,Cape Canaveral,Falcon 9,2013-071A,39460.0
SES-9,NR,SES World Skies (SES [Société Européenne des Satellites (SES)]),USA,Commercial,Communications,GEO,35787.0,35791.0,4.74e-05,0.05,1436.2,3/4/2016,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,2016-013A,41380.0
Shijian 11 01,China,Chinese Academy of Space Technology (CAST),China,Government,Space Science,LEO,686.0,703.0,0.0012,98.1,98.7,11/12/2009,Chinese Academy of Space Technology (CAST)/ DFH Satellite,China,Jiuquan Satellite Launch Center,Long March 2C,2009-061A,36088.0
Shijian 11 02,China,Chinese Academy of Space Technology (CAST),China,Government,Technology Development,LEO,686.0,704.0,0.00127,98.2,98.7,7/29/2011,Chinese Academy of Space Technology (CAST/DFH Satellite,China,Jiuquan Satellite Launch Center,Long March 2C,2011-039A,37765.0
Shijian 11 03,NR,Chinese Academy of Space Technology (CAST),China,Government,Technology Development,LEO,688.0,703.0,0.00106,98.2,98.7,7/6/2011,Chinese Academy of Space Technology (CAST)/DFH Satellite,China,Jiuquan Satellite Launch Center,Long March 2C,2011-030A,37730.0
Shijian 11 05,China,Chinese Academy of Space Technology (CAST),China,Government,Technology Development,LEO,689.0,704.0,0.00106,98.1,98.7,7/15/2013,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2C,2013-035A,39202.0
Shijian 11 06,China,Chinese Academy of Space Technology (CAST),China,Government,Technology Development,LEO,688.0,704.0,0.00113,98.26,98.69,3/31/2014,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2C,2014-014A,39624.0
Shijian 11 07,NR,Chinese Academy of Space Technology (CAST),China,Government,Technology Development,LEO,687.0,705.0,0.00127,98.12,98.69,9/28/2014,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2C,2014-059A,40261.0
Shijian 11 08,NR,Chinese Academy of Space Technology (CAST),China,Government,Technology Development,LEO,690.0,705.0,0.00106,98.2,98.6,10/27/2014,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2C,2014-066A,40286.0
Shijian 12,China,Chinese Academy of Space Technology (CAST),China,Government,Technology Development,LEO,583.0,601.0,0.00129,97.7,96.5,6/15/2010,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2D,2010-027A,36596.0
Shijian 15,NR,Chinese Academy of Space Technology (CAST),China,Government,Technology Development,LEO,661.0,673.0,0.000853,98.06,98.08,7/19/2013,Chinese Academy of Space Technology (CAST),China,Taiyuan Launch Center,Long March 3C,2013-037C,39210.0
Shijian 16 01,China,Chinese Academy of Space Technology (CAST),China,Government,Technology Development,LEO,599.0,616.0,0.00122,74.98,96.85,10/25/2013,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 4B,2013-057A,39358.0
Shijian 16 02,NR,Chinese Academy of Space Technology (CAST),China,Government,Technology Development,LEO,338.0,594.0,0.0187,75.0,96.81,6/29/2016,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 4B,2016-043A,41634.0
Shijian 6A,China,Chinese Academy of Space Technology (CAST),China,Government,Space Science,LEO,579.0,606.0,0.00194,97.8,96.5,9/8/2004,Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.,China,Taiyuan Launch Center,Long March 4B,2004-035A,28413.0
Shijian 6B,China,Chinese Academy of Space Technology (CAST),China,Government,Space Science,LEO,587.0,598.0,0.00079,97.8,96.5,9/8/2004,Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.,China,Taiyuan Launch Center,Long March 4B,2004-035B,28414.0
Shijian 6C,China,Chinese Academy of Space Technology (CAST),China,Government,Space Science,LEO,591.0,594.0,0.000215,97.7,96.5,10/23/2006,Chinese Academy of Space Technology (CAST)/DFH Satellite,China,Taiyuan Launch Center,Long March 4B,2006-046A,29505.0
Shijian 6D,China,Chinese Academy of Space Technology (CAST),China,Government,Space Science,LEO,594.0,595.0,7.18e-05,97.7,96.6,10/23/2006,Chinese Academy of Space Technology (CAST)/DFH Satellite,China,Taiyuan Launch Center,Long March 4B,2006-046B,29506.0
Shijian 6E,China,Chinese Academy of Space Technology (CAST),China,Government,Space Science,LEO,581.0,607.0,0.00187,97.6,96.6,10/25/2008,Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.,China,Taiyuan Launch Center,Long March 4B,2008-053A,33408.0
Shijian 6F,China,Chinese Academy of Space Technology (CAST),China,Government,Space Science,LEO,578.0,603.0,0.0018,97.6,96.5,10/25/2008,Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.,China,Taiyuan Launch Center,Long March 4B,2008-053B,33409.0
Shijian 6G,China,Chinese Academy of Space Technology (CAST),China,Government,Earth Observation,LEO,584.0,603.0,0.00136,97.7,96.6,10/6/2010,Chinese Academy of Space Technology (CAST)/DFH Satellite,China,Taiyuan Launch Center,Long March 4B,2010-051A,37179.0
Shijian 6H,China,Chinese Academy of Space Technology (CAST),China,Government,Earth Observation,LEO,586.0,602.0,0.00115,97.7,96.6,10/6/2010,Chinese Academy of Space Technology (CAST)/DFH Satellite,China,Taiyuan Launch Center,Long March 4B,2010-051B,37180.0
Shijian 7,China,Chinese Academy of Space Technology (CAST),China,Government,Space Science,LEO,534.0,591.0,0.00411,97.7,95.9,7/5/2005,Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.,China,Jiuquan Satellite Launch Center,Long March 2D,2005-024A,28737.0
Shijian 9A,China,Shanghai Academy of Space Technology (CAST),China,Government,Technology Development,LEO,623.0,650.0,0.00193,97.99,97.44,10/14/2012,Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.,China,Taiyuan Launch Center,Long March 2C,2012-056A,38860.0
Shijian 9B,China,Shanghai Academy of Space Technology (CAST),China,Government,Technology Development,LEO,624.0,651.0,0.00193,97.99,97.46,10/14/2012,Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.,China,Taiyuan Launch Center,Long March 2C,2012-056B,38861.0
Shiyan 1,China,Chinese Academy of Space Technology (CAST),China,Government,Earth Observation,LEO,586.0,601.0,0.00108,97.5,96.6,4/18/2004,Chinese Research Institute of Space Technology/Changchun Photomechanical Institute (CAS),China,Xichang Satellite Launch Center,Long March 2C,2004-012A,28220.0
Shiyan 3,China,Chinese Academy of Space Technology (CAST),China,Government,Earth Observation,LEO,785.0,803.0,0.00126,98.5,100.8,11/5/2008,Harbin Institute of Technology,China,Jiuquan Satellite Launch Center,Long March 2D,2008-056A,33433.0
Shiyan 4,China,Chinese Academy of Space Technology (CAST),China,Government,Earth Observation,LEO,784.0,802.0,0.00126,98.4,100.7,11/20/2011,CAST/DFH Satellite/HIT,China,Jiuquan Satellite Launch Center,Long March 2D,2011-068B,37931.0
Shiyan 5,China,Chinese Academy of Space Technology (CAST),China,Government,Earth Observation,LEO,739.0,755.0,0.00112,97.9,99.7,11/25/2013,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2D,2013-068A,39455.0
Shiyan 7,NR,Chinese Academy of Space Technology (CAST),China,Military,Technology Development,LEO,668.0,672.0,0.000284,98.06,98.15,7/19/2013,Chinese Academy of Space Technology (CAST),China,Taiyuan Launch Center,Long March 4C,2013-037A,39208.0
Sicral 1A,Italy,Italian Defense Ministry,Italy,Military,Communications,GEO,35769.0,35802.0,0.000391,1.01,1436.06,2/7/2001,Alenia Spazio,Italy,Guiana Space Center,Ariane 44L,2001-005A,26694.0
Sicral 1B,Italy,Italian Defense Ministry/Telespazio,Italy,Military/Commercial,Communications,GEO,35788.0,35802.0,0.000166,0.04,1436.52,4/20/2009,Thales Alenia Space Italia,Italy,Sea Launch (Odyssey),Zenit 3SL,2009-020A,34810.0
Sicral 2/Syracuse 3C,NR,Italian Defense Ministry/French Defense Ministry,France/Italy,Military,Communications,GEO,35770.0,35800.0,0.000356,0.0,1436,4/26/2015,Thales Alenia Space,France/Italy,Guiana Space Center,Ariane 5,2015-022B,40614.0
Sinah-1,NR,Iranian Research Organization for Science and Technology (IROST),Iran,Government,Communications,LEO,681.0,703.0,0.00156,97.9,98.6,10/27/2005,Polyot,Russia,Plesetsk Cosmodrome,Kosmos 3M,2005-043D,28893.0
SINOD D-1,NR,SRI International,USA,Commercial,Technology Demonstration,LEO,494.0,800.0,0.0218,64.78,97.67,10/8/2015,SRI International,USA,Cape Canaveral,Atlas 5,2015-058L,40974.0
SINOD D-3,NR,SRI International,USA,Commercial,Technology Demonstration,LEO,494.0,800.0,0.0218,64.78,97.66,10/8/2015,SRI International,USA,Cape Canaveral,Atlas 5,2015-058P,40977.0
Sinosat-6,China,China Direct Broadcast Satellite co.,China,Commercial,Communications,GEO,35794.0,35796.0,2.37e-05,0.3,1436.1,9/4/2010,Chinese Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B,2010-042A,37150.0
Sirius-1 (SD Radio 1),USA,Sirius XM Holdings,USA,Commercial,Communications,Elliptical,23783.0,47100.0,0.279,63.3,1418.5,6/30/2000,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton K,2000-035A,26390.0
Sirius 2 (SD Radio 2),USA,Sirius XM Holdings,USA,Commercial,Communications,Elliptical,12849.0,47048.0,0.471,63.3,1148.43,9/5/2000,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton K,2000-051A,26483.0
Sirius 3 (SD Radio 3),USA,Sirius XM Holdings,USA,Commercial,Communications,Elliptical,6179.0,47086.0,0.62,63.4,994.83,11/30/2000,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton K,2000-077A,26626.0
Sirius 4,Sweden,SES Sirius AB,Sweden,Commercial,Communications,GEO,35776.0,35795.0,0.000225,0.04,1436.1,11/17/2007,Lockheed Martin Commercial Space Systems,USA,Baikonur Cosmodrome,Proton M,2007-057A,32299.0
Sirius FM-5,USA,Sirius XM Holdings,USA,Commercial,Communications,GEO,35774.0,35798.0,0.000285,0.0,1436,6/30/2009,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,2009-034A,35493.0
Sirius FM-6,USA,Sirius XM Holdings,USA,Commercial,Communications,GEO,35785.0,35791.0,7.12e-05,0.08,1436.16,10/25/2013,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,2013-058A,39360.0
Sirius XM-5,USA,Sirius XM Holdings,USA,Commercial,Communications,GEO,35779.0,35795.0,0.00019,0.03,1436.12,10/14/2010,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,2010-053A,37185.0
Sky Mexico-1,NR,Sky Mexico,Mexico,Commercial,Communications,GEO,35788.0,35800.0,0.000142,0.0,1436,5/27/2015,Orbital ATK,USA,Guiana Space Center,Ariane 5 ECA,2015-026B,40664.0
Skynet 4C,United Kingdom,Intelsat/Paradigm Secure Communications (wholly owned by EADS Astrium),United Kingdom,Military,Communications,GEO,35775.0,35797.0,0.000261,13.6,1436.07,8/30/1990,Astrium,France/UK/Germany,Guiana Space Center,Ariane 44LP,1990-079A,20776.0
Skynet 4E,United Kingdom,Ministry of Defence,United Kingdom,Military,Communications,GEO,35774.0,35797.0,0.000273,4.99,1436.06,2/26/1999,Astrium,France/UK/Germany,Guiana Space Center,Ariane 44L,1999-009B,25639.0
Skynet 4F,United Kingdom,Ministry of Defence,United Kingdom,Military,Communications,GEO,35773.0,35801.0,0.000332,3.23,1436.15,2/7/2001,Astrium,France/UK/Germany,Guiana Space Center,Ariane 44L,2001-005B,26695.0
Skynet 5A,United Kingdom,Ministry of Defense/Paradigm Secure Communications (wholly owned by EADS Astrium),United Kingdom,Military,Communications,GEO,35771.0,35802.0,0.000368,0.07,1436.1,3/11/2007,EADS Astrium,France/UK/Germany,Guiana Space Center,Ariane 5 ECA,2007-007B,30794.0
Skynet 5B,United Kingdom,Ministry of Defense/Paradigm Secure Communications (wholly owned by EADS Astrium),United Kingdom,Military,Communications,GEO,35700.0,35803.0,0.00122,0.07,1436.1,11/14/2007,EADS Astrium,France/UK/Germany,Guiana Space Center,Ariane 5,2007-056B,32294.0
Skynet 5C,United Kingdom,Ministry of Defence/Paradigm Secure Communications (wholly owned by EADS Astrium),United Kingdom,Military,Communications,GEO,35770.0,35803.0,0.000391,0.53,1436.1,6/12/2008,EADS Astrium,United Kingdom,Guiana Space Center,Ariane 5 ECA,2008-030A,33055.0
Skynet 5D,United Kingdom,Ministry of Defense/Paradigm Secure Communications (wholly owned by EADS Astrium),United Kingdom,Military,Communications,GEO,35786.0,35793.0,8.3e-05,0.07,1436.24,12/19/2012,EADS Astrium,United Kingdom,Guiana Space Center,Ariane 5 ECA,2012-075A,39034.0
SkySat-1,USA,Terra Bella,USA,Commercial,Earth Observation,LEO,567.0,599.0,0.0023,97.81,96.34,11/21/2013,Skybox Imaging,USA,Dombarovsky Air Base,Dnepr,2013-066C,39418.0
SkySat-2,NR,Terra Bella,USA,Commercial,Earth Observation,LEO,626.0,634.0,0.000571,98.4,97.31,7/8/2014,Skybox Imaging,USA,Baikonur Cosmodrome,Soyuz-2.1b,2014-037D,40072.0
SkySat-3,NR,Terra Bella,USA,Commercial,Earth Observation,LEO,500.0,515.0,0.00109,97.5,94.78,6/22/2016,Space Systems/Loral,USA,Satish Dhawan Space Center,PSLV XL,2016-040C,41601.0
SkyTerra 1,USA,LightSquared,USA,Commercial,Communications,GEO,35782.0,35791.0,0.000107,6.06,1436.09,11/14/2010,Boeing Satellite Systems,USA,Baikonur Cosmodrome,Breeze M,2010-061A,37218.0
USA 119,USA,National Reconnaissance Office (NRO),USA,Military,Communications,Elliptical,1200.0,11600.0,0.407,63.4,240,5/12/1996,National Reconnaissance Laboratory,USA,Vandenberg AFB,Titan IV,1996-029A,23893.0
SMAP,NR,National Aeronautics and Space Administration (NASA),USA,Government,Earth Observation,LEO,660.0,686.0,0.00185,98.13,98.21,1/31/2015,Jet Propulsion Laboratory (NASA),USA,Vandenberg AFB,Delta 2,2015-003A,40376.0
SMDC-ONE 1.1,USA,US Army Space and Missile Defense Command,USA,Military,Technology Development,LEO,495.0,791.0,0.0211,64.6,97.5,9/13/2012,Miltec,USA,Vandenberg AFB,Atlas 5,2012-048J,38766.0
SMDC-ONE 1.2,USA,US Army Space and Missile Defense Command,USA,Military,Technology Development,LEO,483.0,789.0,0.0218,64.6,97.4,9/13/2012,Miltec,USA,Vandenberg AFB,Atlas 5,2012-048B,38759.0
SMDC-ONE 2.3,NR,US Army Space and Missile Defense Command,USA,Military,Technology Development,LEO,443.0,886.0,0.0315,120.3,98,12/6/2013,Miltec,USA,Vandenberg AFB,Atlas 5,2013-072N,39474.0
SMDC-ONE 2.4,NR,US Army Space and Missile Defense Command,USA,Military,Technology Development,LEO,443.0,886.0,0.0315,120.3,98,12/6/2013,Miltec,USA,Vandenberg AFB,Atlas 5,2013-072L,39472.0
SMOS,ESA,Centre National d'Etudes Spatiales (CNES)/European Space Agency,ESA,Government,Earth Observation,LEO,759.0,760.0,7.01e-05,98.4,100,11/2/2009,Thales Alenia Space,France,Plesetsk Cosmodrome,Breeze KM,2009-059A,36036.0
